Data,Titolo,Descrizione_Completa,Ospiti,Immagine,Link
02/07/2026,"Piazzapulita, stasera lo speciale L’Amico Americano",Corrado Formigli propone un'analisi sull'ultimo anno della presidenza di Donald Trump. Ecco le anticipazioni del 2 luglio 2026,N/d,https://www.davidemaggio.it/app/uploads/2025/11/Piazzapulita-Corrado-Formigli-1024x576.jpg,https://www.davidemaggio.it/piazzapulita/piazzapulita-stasera-lo-speciale-lamico-americano
02/07/2026,"Battiti Live 2026, la scaletta della prima puntata",Al via su Canale 5 lo show musicale targato Radio Norba. Ecco l'ordine di esibizione dei cantanti di stasera,N/d,https://www.davidemaggio.it/app/uploads/2026/07/Fabio-Rovazzi-Ilary-Blasi-Daniele-Battaglia-2000x1333.jpg,https://www.davidemaggio.it/battiti-live/battiti-live-2026-la-scaletta-della-prima-puntata
02/07/2026,Fabio Fazio raddoppia in prima serata sul Nove con Il Tavolo di Che Tempo Che Fa,Nella prossima stagione TV il conduttore ligure in onda anche il mercoledì sera,N/d,https://www.davidemaggio.it/app/uploads/2025/11/Fabio-Fazio-Che-Tempo-Che-Fa-1024x683.jpg,https://www.davidemaggio.it/che-tempo-che-fa/fabio-fazio-raddoppia-in-prima-serata-sul-nove-con-il-tavolo-di-che-tempo-che-fa
02/07/2026,Federica Sciarelli saluta Chi l’ha Visto: “Questi 22 anni sono stati una bellissima passeggiata”,Il pacato e sobrio congedo della conduttrice dal programma di Rai 3. Che non sembra un addio...,N/d,https://www.davidemaggio.it/app/uploads/2026/07/Sciarelli.jpeg,https://www.davidemaggio.it/chi-l-ha-visto/federica-sciarelli-saluta-chi-lha-visto-questi-22-anni-sono-stati-una-bellissima-passeggiata
01/07/2026,"Temptation Island 14, diretta seconda puntata: Gabriele scappa dal villaggio per affrontare il single Andre","Furioso, il fidanzato chiede poi il falò anticipato con Sara; Rosario e Sabrina danno forfait ad Alessandra e Giovanni. Ecco tutti i video e la cronaca live minuto per minuto della serata",N/d,https://www.davidemaggio.it/app/uploads/2026/07/Gabriele-Temptation-Island.jpg,https://www.davidemaggio.it/temptation-island/temptation-island-14-diretta-seconda-puntata-cosa-e-successo
01/07/2026,"Federica Sciarelli saluta Chi l’ha Visto con il caso Elisa Claps, in studio la mamma Filomena",Spazio anche alle morti di Francesca Ercolini e Alessandra Ollari. Ecco le anticipazioni del 1° luglio 2026,Filomena claps,https://www.davidemaggio.it/app/uploads/2025/09/Federica-Sciarelli-Chi-lha-visto-1024x769.jpeg,https://www.davidemaggio.it/chi-l-ha-visto/federica-sciarelli-saluta-chi-lha-visto-con-il-caso-elisa-claps-in-studio-la-mamma-filomena
01/07/2026,"Zona Bianca, De Rensis e Bocellari ospiti per le ultime su Garlasco",Spazio anche all'emergenza caldo e alla questione energetica. Ecco le anticipazioni del 1° luglio 2026,"Francesco de rensis, bocellari",https://www.davidemaggio.it/app/uploads/2025/12/Giuseppe-Brindisi-1024x576.jpg,https://www.davidemaggio.it/zona-bianca/zona-bianca-de-rensis-e-bocellari-ospiti-per-le-ultime-su-garlasco
01/07/2026,Il Canada entra a far parte dell’Eurovision Song Contest,"Lo stato nordamericano esordirà nelle semifinali della 71° edizione, in Bulgaria nel 2027",N/d,https://www.davidemaggio.it/app/uploads/2026/07/Eurovision-Song-Contest.jpg,https://www.davidemaggio.it/eurovision-song-contest/il-canada-entra-a-far-parte-delleurovision-song-contest
01/07/2026,"Temptation Island 14, seconda puntata tra falò anticipati e fuga dal villaggio",Le anticipazioni del secondo appuntamento del reality di Canale 5 in onda stasera in prima serata,N/d,https://www.davidemaggio.it/app/uploads/2026/06/Filippo-Bisciglia-con-le-coppie-di-Temptation-Island-2026-2000x1333.jpg,https://www.davidemaggio.it/temptation-island/temptation-island-14-seconda-puntata-tra-falo-anticipati-e-fuga-dal-villaggio
30/06/2026,Anche L’Eredità Summer avrà il torneo dei campioni,Dal 31 agosto al 5 settembre 2026 il programma dell'access estivo di Rai 1 chiuderà con il Torneo dei Super Campioni,N/d,https://www.davidemaggio.it/app/uploads/2026/06/LEredita-Summer.jpg,https://www.davidemaggio.it/l-eredita/anche-leredita-summer-avra-il-torneo-dei-campioni
30/06/2026,Che ci faccio Qui racconta la seconda vita,Dalla storia della prima donna italiana sopravvissuta a uno sfregio con l’acido alla nuova vita di una donna con un cuore trapiantato. Ecco le anticipazioni del 30 giugno 2026,N/d,https://www.davidemaggio.it/app/uploads/2026/06/Domenico-Iannacone.webp,https://www.davidemaggio.it/che-ci-faccio-qui/che-ci-faccio-qui-racconta-la-seconda-vita
29/06/2026,Alemanno e Veltroni stasera a Filorosso,I due ex sindaci di Roma tra gli ospiti della nuova puntata. Ecco le anticipazioni del 29 giugno 2026,"Gianni alemanno, walter veltroni",https://www.davidemaggio.it/app/uploads/2026/06/Gianni-Alemanno.jpg,https://www.davidemaggio.it/filorosso/alemanno-e-veltroni-stasera-a-filorosso
29/06/2026,Quarta Repubblica chiude la stagione con Conte e l’inchiesta sulle forniture di mascherine durante il Covid,Focus anche sui casi Epstein e Garlasco. Ecco le anticipazioni e gli ospiti del 29 giugno 2026,Giuseppe conte,https://www.davidemaggio.it/app/uploads/2026/06/Giuseppe-Conte-4.jpg,https://www.davidemaggio.it/quarta-repubblica/quarta-repubblica-chiude-la-stagione-con-conte-e-linchiesta-sulle-forniture-di-mascherine-durante-il-covid
28/06/2026,Salvo Sottile saluta FarWest con uno speciale sulle truffe online,"Stasera, in seconda serata su Rai 3, il programma viaggia sotto copertura tra Italia, Romania, Cipro e Israele",N/d,https://www.davidemaggio.it/app/uploads/2025/10/FarWest-Salvo-Sottile-1024x576.jpg,https://www.davidemaggio.it/farwest/salvo-sottile-saluta-farwest-con-uno-speciale-sulle-truffe-online
28/06/2026,"Rai, 127 giornalisti passano alle Testate Regionali. Barbara Di Palma in lacrime saluta Vita in Diretta",La 'stabilizzazione' restituisce dignità a tanti collaboratori ma per le produzioni è una perdita importante: solo Vita in Diretta perde 18 collaboratori,N/d,https://www.davidemaggio.it/app/uploads/2026/06/Barbara-Di-Palma-e-Alberto-Matano.jpg,https://www.davidemaggio.it/la-vita-in-diretta/rai-127-giornalisti-passano-alle-testate-regionali-barbara-di-palma-in-lacrime-saluta-vita-in-diretta
26/06/2026,Otto e Mezzo,,"Lina Palmerini, Lucio Caracciolo, Marco Travaglio, Luca Guadagnino",https://kdam.iltrovatore.it/p/103/sp/10300/thumbnail/entry_id/0_nx4n85ic/type/5/width/1280/quality/100/0_nx4n85ic.jpg?v=5420,https://www.la7.it/otto-e-mezzo/rivedila7/otto-e-mezzo-26-06-2026-650566
26/06/2026,"Money Road 2, com’è finita e quanto hanno vinto i concorrenti","Marilina, villain di questa edizione, si porta a casa il montepremi più alto. Luana, rimasta senza soldi da prelevare all’ATM, ha comunque 26.800 euro sul conto.",N/d,https://www.davidemaggio.it/app/uploads/2026/05/Marilina-2-2000x1333.jpg,https://www.davidemaggio.it/money-road/money-road-2-come-finita-e-quanto-hanno-vinto-i-concorrenti
25/06/2026,Otto e Mezzo,,,https://kdam.iltrovatore.it/p/103/sp/10300/thumbnail/entry_id/0_489gmq6o/type/5/width/1280/quality/100/0_489gmq6o.jpg?v=3487,https://www.la7.it/otto-e-mezzo/rivedila7/otto-e-mezzo-25-06-2026-650422
26/06/2026,Il video porno di Temptation Island,"I fidanzati Gabriele e Sara hard sul web all'insaputa del programma di Canale 5. Scoppiato il caso, i due tentano una giustificazione",N/d,https://www.davidemaggio.it/app/uploads/2026/06/Gabriele-Govoni-e-Sara-Palumbieri-Temptation-Island-2026.jpg,https://www.davidemaggio.it/temptation-island/il-video-porno-di-temptation-island
25/06/2026,"Quarto Grado: Garlasco, le sorelle ritrovate e il giallo di Rimini al centro del doppio appuntamento",Il programma di Gianluigi Nuzzi e Alessandra Viero in onda anche questa settimana di giovedì e venerdì. Ecco le anticipazioni e gli ospiti,N/d,https://www.davidemaggio.it/app/uploads/2026/01/Alessandra-Viero-e-Gianluigi-Nuzzi-2-1024x538.jpg,https://www.davidemaggio.it/quarto-grado/quarto-grado-garlasco-le-sorelle-ritrovate-e-il-giallo-di-rimini-al-centro-del-doppio-appuntamento
25/06/2026,"Piazzapulita, Formigli va all’attacco della remigrazione",Stasera speciale dal titolo Fratelli di Sangue dedicato al progetto politico portato avanti da Vannacci e dalla destra italiana. Ecco le anticipazioni del 25 giugno 2026,N/d,https://www.davidemaggio.it/app/uploads/2025/11/Piazzapulita-Corrado-Formigli-1024x576.jpg,https://www.davidemaggio.it/piazzapulita/piazzapulita-formigli-va-allattacco-della-remigrazione
25/06/2026,"Sarabanda Celebrity, ecco i team di stasera","Iva Zanicchi, Rossella Brescia e LDA tra i concorrenti in gara nella sesta puntata","Iva zanicchi, rossella brescia, lda",https://www.davidemaggio.it/app/uploads/2026/05/Enrico-Papi-2000x1492.jpg,https://www.davidemaggio.it/sarabanda/sarabanda-celebrity-ecco-i-team-di-stasera-7
25/06/2026,Federica Sciarelli lascerà Chi l’ha Visto?,In Rai sono in corso riflessioni sul futuro professionale della conduttrice e su chi potrebbe raccoglierne l'eredità,N/d,https://www.davidemaggio.it/app/uploads/2025/09/Federica-Sciarelli-Chi-lha-Visto-1024x576.png,https://www.davidemaggio.it/chi-l-ha-visto/federica-sciarelli-lascera-chi-lha-visto
24/06/2026,Otto e Mezzo,,,https://kdam.iltrovatore.it/p/103/sp/10300/thumbnail/entry_id/0_y2225iws/type/5/width/1280/quality/100/0_y2225iws.jpg?v=8095,https://www.la7.it/otto-e-mezzo/rivedila7/otto-e-mezzo-24-06-2026-650281
25/06/2026,"Pino Rinaldi, lapsus a Ignoto X: “Tutto questo tra pochissimo su Chi l’ha Visto”",Accade proprio nel giorno in cui la Rai annuncia che sono in corso valutazioni sul futuro del programma di Rai 3 e di Federica Sciarelli,N/d,https://www.davidemaggio.it/app/uploads/2026/06/Pino-Rinaldi.jpg,https://www.davidemaggio.it/ignoto-x/pino-rinaldi-lapsus-a-ignoto-x-tutto-questo-tra-pochissimo-su-chi-lha-visto
24/06/2026,"Temptation Island 2026, diretta prima puntata: il tentatore bacia il piede di Sara e fa imbestialire il fidanzato Gabriele",Sabrina lecca il collo del single e Giovanni chiede il falò di confronto anticipato. Ecco tutti i video e la cronaca live minuto per minuto della serata,N/d,https://www.davidemaggio.it/app/uploads/2026/06/Andre-e-Sara-Temptation-Island-2026.jpg,https://www.davidemaggio.it/temptation-island/temptation-island-2026-diretta-prima-puntata-eccp-cosa-e-successo
24/06/2026,Le tentatrici di Temptation Island 2026,"Tra le 13 single anche Patrizia Zylka, volto di Sportitalia",Patrizia zylka,https://www.davidemaggio.it/app/uploads/2026/06/6.-GRUPPO-SINGLE-DONNE_5537-scaled-e1782314433922-2000x1333.jpg,https://www.davidemaggio.it/temptation-island/le-tentatrici-di-temptation-island-2026
24/06/2026,I tentatori di Temptation Island 2026,"Tra i 13 single anche Danilo Mileto, concorrente del flop The Couple, e un ex tronista di Uomini e Donne",N/d,https://www.davidemaggio.it/app/uploads/2026/06/7.-GRUPPO-SINGLE-UOMINI_5864-2000x1333.jpg,https://www.davidemaggio.it/temptation-island/i-tentatori-di-temptation-island-2026
24/06/2026,"Antonio De Rensis, Giada Bocellari e Armando Palmegiani stasera a Zona Bianca",Il caso Garlasco al centro della nuova puntata. Ecco le anticipazioni del 24 giugno 2026,"Antonio de rensis, giada bocellari, armando palmegiani",https://www.davidemaggio.it/app/uploads/2025/06/Giuseppe-Brindisi-Zona-Bianca-1024x596.jpeg,https://www.davidemaggio.it/zona-bianca/antonio-de-rensis-giada-bocellari-e-armando-palmegiani-stasera-a-zona-bianca
24/06/2026,Il ritrovamento delle due sorelle stasera a Chi l’ha Visto,Focus anche sulla morte della giudice Francesca Ercolini e sulle avvelenate di Pietracatella. Ecco le anticipazioni del 24 giugno 2026,N/d,https://www.davidemaggio.it/app/uploads/2025/09/Federica-Sciarelli-Chi-lha-visto-1024x769.jpeg,https://www.davidemaggio.it/chi-l-ha-visto/il-ritrovamento-delle-due-sorelle-stasera-a-chi-lha-visto
23/06/2026,Otto e Mezzo,,,https://kdam.iltrovatore.it/p/103/sp/10300/thumbnail/entry_id/0_dufh13ze/type/5/width/1280/quality/100/0_dufh13ze.jpg?v=2567,https://www.la7.it/otto-e-mezzo/rivedila7/otto-e-mezzo-23-06-2026-650151
23/06/2026,4 di Sera News e Diario del Giorno in onda per tutta l’estate,"Ad agosto il programma dell'access di Rete 4 sarà condotto, a turno, da Alessandra Viero e Sabrina Scampini",N/d,https://www.davidemaggio.it/app/uploads/2026/06/Sabrina-Scampini-e1782230278554.jpeg,https://www.davidemaggio.it/4-di-sera/4-di-sera-news-e-diario-del-giorno-in-onda-per-tutta-lestate
23/06/2026,"Che ci faccio Qui racconta la storia di Roberto, bambino affetto dalla sindrome di Cockayne",Iannacone si interroga su cosa significhi vivere quando il tempo è breve. Ecco le anticipazioni del 23 giugno 2026,N/d,https://www.davidemaggio.it/app/uploads/2026/06/Domenico-Iannacone-Tutta-la-vita-che-ho-2000x1125.jpg,https://www.davidemaggio.it/che-ci-faccio-qui/che-ci-faccio-qui-racconta-la-storia-di-roberto-bambino-affetto-dalla-sindrome-di-cockayne
23/06/2026,"Iacchetti, Cruciani e la ‘iena’ De Giuseppe stasera a È Sempre Cartabianca","In studio attesa anche la testimonianza dei genitori di Sammy Basso, il biologo morto a soli 28 anni. Ecco le anticipazioni del 23 giugno 2026","Enzo iacchetti, giuseppe cruciani, alessandro de giuseppe, genitori di sammy basso",https://www.davidemaggio.it/app/uploads/2025/10/e-sempre-Cartabianca-Bianca-Berlinguer-1024x576.jpg,https://www.davidemaggio.it/e-sempre-cartabianca/iacchetti-cruciani-e-la-iena-de-giuseppe-stasera-a-e-sempre-cartabianca
23/06/2026,Elettra Lamborghini nuovo giudice di Tale e Quale Show,L'annuncio di Carlo Conti sul palco di Tim Summer Hits,N/d,https://www.davidemaggio.it/app/uploads/2026/03/Elettra-Lamborghini-2000x1333.jpg,https://www.davidemaggio.it/tale-e-quale-show/elettra-lamborghini-nuovo-giudice-di-tale-e-quale-show
22/06/2026,Otto e Mezzo,,,https://kdam.iltrovatore.it/p/103/sp/10300/thumbnail/entry_id/0_rsy8aafq/type/5/width/1280/quality/100/0_rsy8aafq.jpg?v=5379,https://www.la7.it/otto-e-mezzo/rivedila7/otto-e-mezzo-22-06-2026-650006
22/06/2026,Le Grandi Domande di Freedom nell’estate di Rete 4,"Roberto Giacobbo torna con una formula inedita del suo programma divulgativo, in onda in prima serata da martedì 7 luglio",N/d,https://www.davidemaggio.it/app/uploads/2025/06/Roberto-Giacobbo-1024x601.jpeg,https://www.davidemaggio.it/freedom/le-grandi-domande-di-freedom-nellestate-di-rete-4
22/06/2026,"Quarta Repubblica tra lo scontro Trump-Meloni, Garlasco e l’inchiesta sugli affari del Covid","Ecco le anticipazioni e gli ospiti di stasera, lunedì 22 giugno 2026",N/d,https://www.davidemaggio.it/app/uploads/2026/02/Nicola-Porro-4-1024x576.jpg,https://www.davidemaggio.it/quarta-repubblica/quarta-repubblica-tra-lo-scontro-trump-meloni-garlasco-e-linchiesta-sugli-affari-del-covid
22/06/2026,"Filorosso, faccia a faccia sui diritti civili tra Francesca Pascale e Simone Pillon",Tra i temi di stasera anche il caso Garlasco con l'avvocato De Rensis. Ecco le anticipazioni e gli ospiti del 22 giugno 2026,"Francesca pascale, simone pillon, de rensis",https://www.davidemaggio.it/app/uploads/2026/06/Antonino-Monteleone-e-Adele-Grossi.png,https://www.davidemaggio.it/filorosso/filorosso-faccia-a-faccia-sui-diritti-civili-tra-francesca-pascale-e-simone-pillon
19/06/2026,Otto e Mezzo,,"Letizia Moratti, Gad Lerner, Andrea Scanzi",https://kdam.iltrovatore.it/p/103/sp/10300/thumbnail/entry_id/0_3fe061kq/type/5/width/1280/quality/100/0_3fe061kq.jpg?v=8263,https://www.la7.it/otto-e-mezzo/rivedila7/otto-e-mezzo-19-06-2026-649768
19/06/2026,Il ritorno di Belen a Tú Sí Que Vales – Video,"Annunciata da Elisabetta Canalis, l'argentina è ufficialmente rientrata nello show che ha condotto fino al 2022, di cui sono in corso le registrazioni",Belen rodriguez,https://www.davidemaggio.it/app/uploads/2026/02/SLF_1886-2000x1333.jpg,https://www.davidemaggio.it/tu-si-que-vales/il-ritorno-di-belen-a-tu-si-que-vales-video
18/06/2026,Otto e Mezzo,,,https://kdam.iltrovatore.it/p/103/sp/10300/thumbnail/entry_id/0_vow2jwyl/type/5/width/1280/quality/100/0_vow2jwyl.jpg?v=8896,https://www.la7.it/otto-e-mezzo/rivedila7/otto-e-mezzo-18-06-2026-649566
18/06/2026,Le prime immagini di Elisabetta Canalis a Tú Sí Que Vales,Sono iniziate le registrazioni della nuova edizione del talent show di Canale 5 con l'ex velina nel ruolo di conduttrice,N/d,https://www.davidemaggio.it/app/uploads/2026/06/Elisabetta-Canalis.jpeg,https://www.davidemaggio.it/tu-si-que-vales/le-prime-immagini-di-elisabetta-canalis-a-tu-si-que-vales
18/06/2026,Il ritorno di Che ci faccio qui è un pugno nello stomaco,"Su Rai3 torna Che ci faccio qui, la trasmissione condotta da Domenico Iannacone. Il ritorno è un pugno nello stomaco.",N/d,https://www.davidemaggio.it/app/uploads/2026/06/Domenico-Iannacone-Che-ci-faccio-qui.webp,https://www.davidemaggio.it/recensioni/il-ritorno-di-che-ci-faccio-qui-e-un-pugno-nello-stomaco
18/06/2026,"Tim Summer Hits 2026, ecco il cast del Festivalbar di Rai1","Saranno oltre ottanta i cantanti che saliranno sul palco dello show. Tra loro, direttamente da Sanremo, Sal Da Vinci, Arisa, Samurai Jay e Ditonellapiaga.","Sal da vinci, arisa, samurai jay, ditonellapiaga",https://www.davidemaggio.it/app/uploads/2025/07/Carlo-Conti-e-Andrea-Delogu-25-1024x683.jpeg,https://www.davidemaggio.it/programmi-tv/tim-summer-hits-2026-ecco-il-cast-del-festivalbar-di-rai1
18/06/2026,Il caso Garlasco al centro delle due nuove puntate di Quarto Grado,Focus anche sulla morte di Liliana Resinovich e sulla scomparsa delle due sorelline dell'Aquilano. Ecco le anticipazioni e gli ospiti del 18 e 19 giugno 2026,N/d,https://www.davidemaggio.it/app/uploads/2026/01/Viero-e-Nuzzi-e1767968329759-1024x677.jpg,https://www.davidemaggio.it/quarto-grado/il-caso-garlasco-al-centro-delle-due-nuove-puntate-di-quarto-grado
18/06/2026,Il premio Oscar Basel Adra stasera a Piazzapulita,"Presenti anche Giuseppe Conte, Emanuele Fiano e Michele Serra. Ecco le anticipazioni del 18 giugno 2026","Basel adra, giuseppe conte, emanuele fiano, michele serra",https://www.davidemaggio.it/app/uploads/2025/11/Piazzapulita-Corrado-Formigli-1-1024x576.jpg,https://www.davidemaggio.it/piazzapulita/il-premio-oscar-basel-adra-stasera-a-piazzapulita
18/06/2026,"Sarabanda Celebrity: Tatangelo, Mariotto e Berti tra i concorrenti di stasera",Ecco i due team della quinta puntata dello show musicale di Italia 1,"Anna tatangelo, guillermo mariotto, orietta berti",https://www.davidemaggio.it/app/uploads/2024/08/Anna-Tatangelo-1024x576.jpg,https://www.davidemaggio.it/sarabanda/sarabanda-celebrity-tatangelo-mariotto-e-berti-tra-i-concorrenti-di-stasera
17/06/2026,Otto e Mezzo,,,https://kdam.iltrovatore.it/p/103/sp/10300/thumbnail/entry_id/0_203k1ztc/type/5/width/1280/quality/100/0_203k1ztc.jpg?v=3949,https://www.la7.it/otto-e-mezzo/rivedila7/otto-e-mezzo-17-06-2026-649442
17/06/2026,The Wall dal 13 luglio su Canale 5 con Max Giusti,"Davide Maggio lo aveva anticipato nel novembre scorso e così sarà: Max Giusti, dopo l'impegno con Caduta Libera, torna nel preserale di Canale 5",N/d,https://www.davidemaggio.it/app/uploads/2025/09/Max-Giusti-1-1024x576.jpg,https://www.davidemaggio.it/the-wall/the-wall-dal-13-luglio-su-canale-5-con-max-giusti
17/06/2026,La scomparsa delle due sorelle in Abruzzo al centro di Chi l’ha Visto,Spazio anche al giallo di Rimini e alle avvelenate di Campobasso. Ecco le anticipazioni del 17 giugno 2026,N/d,https://www.davidemaggio.it/app/uploads/2025/09/Federica-Sciarelli-Chi-lha-Visto-1024x576.png,https://www.davidemaggio.it/chi-l-ha-visto/la-scomparsa-delle-due-sorelle-in-abruzzo-al-centro-di-chi-lha-visto
17/06/2026,Temptation Island ‘balla’ tra i Mondiali,Il reality di Canale 5 in onda nel pieno della Coppa del Mondo ma nelle serate libere da partitoni,N/d,https://www.davidemaggio.it/app/uploads/2026/06/Filippo-Bisciglia-2000x1441.jpeg,https://www.davidemaggio.it/temptation-island/temptation-island-balla-tra-i-mondiali
17/06/2026,Zona Bianca torna con il caso Garlasco. Ospiti i legali di Stasi e il consulente della difesa di Sempio,Tra i temi della puntata di stasera anche l'accordo USA-Iran e il caso di Pierina Paganelli,N/d,https://www.davidemaggio.it/app/uploads/2026/06/Giuseppe-Brindisi-3.jpg,https://www.davidemaggio.it/zona-bianca/zona-bianca-torna-con-il-caso-garlasco-ospiti-i-legali-di-stasi-e-il-consulente-della-difesa-di-sempio
16/06/2026,Otto e Mezzo,,,https://kdam.iltrovatore.it/p/103/sp/10300/thumbnail/entry_id/0_h3bhs5vp/type/5/width/1280/quality/100/0_h3bhs5vp.jpg?v=745,https://www.la7.it/otto-e-mezzo/rivedila7/otto-e-mezzo-16-06-2026-649339
17/06/2026,BOOM! Salvo Sottile è il nuovo conduttore di Ore 14,Davide Maggio annuncia che la Direzione Approfondimento Rai ha affidato al giornalista siciliano la conduzione del programma di Milo Infante,N/d,https://www.davidemaggio.it/app/uploads/2024/10/Salvo-Sottile-1024x649.jpg,https://www.davidemaggio.it/anteprime/boom-salvo-sottile-e-il-nuovo-conduttore-di-ore-14
16/06/2026,Elisabetta Canalis è la nuova conduttrice di Tú Sí Que Vales,La showgirl sarda sostituirà Giulia Stabile alla conduzione del talent show di Canale 5,N/d,https://www.davidemaggio.it/app/uploads/2024/12/Elisabetta-Canalis-a-Belve-e1733846872901-1024x628.jpg,https://www.davidemaggio.it/tu-si-que-vales/elisabetta-canalis-e-la-nuova-conduttrice-di-tu-si-que-vales
16/06/2026,Michelle Hunziker e Ale e Franz alla guida di Zelig,"Lo show comico dice addio a Bisio e Incontrada, ma continua a puntare sull’usato sicuro.",N/d,https://www.davidemaggio.it/app/uploads/2026/03/Michelle-Hunziker-copia.jpg,https://www.davidemaggio.it/zelig-intrattenimento/michelle-hunziker-e-ale-e-franz-alla-guida-di-zelig
16/06/2026,Vannacci stasera a È Sempre Cartabianca,Spazio anche a Garlasco con gli avvocati De Rensis e Taccia. Ecco le anticipazioni del 16 giugno 2026,"De rensis, taccia, vannacci",https://www.davidemaggio.it/app/uploads/2026/06/Roberto-Vannacci.jpg,https://www.davidemaggio.it/e-sempre-cartabianca/vannacci-stasera-a-e-sempre-cartabianca
15/06/2026,Otto e Mezzo,,,https://kdam.iltrovatore.it/p/103/sp/10300/thumbnail/entry_id/0_uu4vc140///width/1280/quality/100/name/0_uu4vc140.jpgname/0_uu4vc140.jpg_vrs9919name/0_uu4vc140.jpg,https://www.la7.it/otto-e-mezzo/rivedila7/otto-e-mezzo-15-06-2026-649209
16/06/2026,Che ci faccio Qui torna nel prime time di Rai 3 con Domenico Iannacone,Un viaggio in quattro puntate che attraversa il corpo nella sua dimensione fisica e simbolica. Si parte stasera dal fine vita,N/d,https://www.davidemaggio.it/app/uploads/2026/06/Domenico-Iannacone.jpg,https://www.davidemaggio.it/programmi-tv/che-ci-faccio-qui-torna-nel-prime-time-di-rai-3-con-domenico-iannacone
15/06/2026,Documenti inediti sul caso Garlasco stasera a Quarta Repubblica,Spazio a un nuovo capitolo dell’inchiesta sulle forniture di mascherine durante l’emergenza Covid. Ecco le anticipazioni del 15 giugno 2026,N/d,https://www.davidemaggio.it/app/uploads/2026/06/Nicola-Porro-10.jpg,https://www.davidemaggio.it/quarta-repubblica/documenti-inediti-sul-caso-garlasco-stasera-a-quarta-repubblica
15/06/2026,Un posto al Sole sbarca in Calabria,"Grazie all’accordo stretto tra Rai e Regione, dal 15 al 19 giugno la troupe girerà tra la Sila e la costa tirrenica",N/d,https://www.davidemaggio.it/app/uploads/2026/06/UPAS-2026.webp,https://www.davidemaggio.it/un-posto-al-sole/un-posto-al-sole-sbarca-in-calabria
14/06/2026,"Da Noi… a Ruota Libera chiude con Orietta Berti, Manuela Moreno e Gabriele Corsi",Presenti in studio anche i Gemelli di Guidonia. Ecco le anticipazioni del 14 giugno 2026,"Orietta berti, manuela moreno, gabriele corsi, gemelli di guidonia",https://www.davidemaggio.it/app/uploads/2025/10/Francesca-Fialdini-Rai-1024x683.jpg,https://www.davidemaggio.it/da-noi-a-ruota-libera/da-noi-a-ruota-libera-chiude-con-orietta-berti-manuela-moreno-e-gabriele-corsi
14/06/2026,"Temptation Island 2026, Alessandra e Rosario sono la settima e ultima coppia","""Mentre stava con me a Milano aveva un'altra ragazza a Napoli"", confessa la fidanzata. I due stanno insieme da quasi tre anni",N/d,https://www.davidemaggio.it/app/uploads/2026/06/Alessandra-e-Rosario-Temptation-Island-2026.jpg,https://www.davidemaggio.it/temptation-island/temptation-island-2026-alessandra-e-rosario-sono-la-settima-e-ultima-coppia
13/06/2026,"Una Voce per Padre Pio torna su Rai 1 con Al Bano, Anna Oxa e Orietta Berti tra gli ospiti",Lo show solidale in onda stasera da Pietrelcina con la conduzione di Mara Venier,"Al bano, anna oxa, orietta berti",https://www.davidemaggio.it/app/uploads/2026/06/Mara-Venier.png,https://www.davidemaggio.it/programmi-tv/una-voce-per-padre-pio-torna-su-rai-1-con-al-bano-anna-oxa-e-orietta-berti-tra-gli-ospiti
13/06/2026,"Temptation Island 2026, Andrea e Iris sono la sesta coppia","A rivolgersi al programma è stata la fidanzata, certa di essere stata tradita dopo aver trovato alcune chat e foto intime del compagno con altre ragazze",N/d,https://www.davidemaggio.it/app/uploads/2026/06/Andrea-e-Iris-Temptation-Island-2026.jpg,https://www.davidemaggio.it/temptation-island/temptation-island-2026-andrea-e-iris-sono-la-sesta-coppia
12/06/2026,Otto e Mezzo,,"Pino Corrias, Francesca Pascale, Andrea Scanzi",https://kdam.iltrovatore.it/p/103/sp/10300/thumbnail/entry_id/0_1rorqqmw///width/1280/quality/100/name/0_1rorqqmw.jpgname/0_1rorqqmw.jpg_vrs9653name/0_1rorqqmw.jpg,https://www.la7.it/otto-e-mezzo/rivedila7/otto-e-mezzo-12-06-2026-648936
13/06/2026,"Temptation Island 2026, Bernadette e Diamante sono la quinta coppia","Fidanzati da sedici anni, a scrivere al programma è stata la ragazza con un ultimatum: o arriva la proposta di matrimonio o ""saremo costretti a separarci""",N/d,https://www.davidemaggio.it/app/uploads/2026/06/Bernadette-e-Diamante-Temptation-Island-2026.jpg,https://www.davidemaggio.it/temptation-island/temptation-island-2026-bernadette-e-diamante-sono-la-quinta-coppia
12/06/2026,BOOM! Mediaset testa Rischiatutto,"Davide Maggio svela la realizzazione di tre puntate zero di Jeopardy!, il Rischiatutto di Mike Bongiorno. Ecco i conduttori scelti",N/d,https://www.davidemaggio.it/app/uploads/2026/06/Jeopardy.jpg,https://www.davidemaggio.it/anteprime/boom-mediaset-testa-rischiatutto
11/06/2026,Otto e Mezzo,,,https://kdam.iltrovatore.it/p/103/sp/10300/thumbnail/entry_id/0_ftdukq6d///width/1280/quality/100/name/0_ftdukq6d.jpgname/0_ftdukq6d.jpg_vrs7978name/0_ftdukq6d.jpg,https://www.la7.it/otto-e-mezzo/rivedila7/otto-e-mezzo-11-06-2026-648760
